Product Number;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10
1;1;1;1;1;1;1;1;1;1;1
2;0;0;0;0;0;0;0;0;0;0
3;1;1;1;1;0;1;0;1;1;0
4;0;1;1;0;0;1;1;0;1;0
5;0;0;0;0;0;0;0;0;0;0
6;1;1;1;1;0;1;0;1;1;0
7;0;1;1;1;1;0;1;1;1;1
8;0;1;0;1;1;0;1;0;0;1
9;1;1;1;1;1;1;1;1;1
10;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0
13;1;1;1;1;1;1;1;1;1;1
14;1;1;1;1;1;1;1;1;1;1
15;1;1;1;1;1;1;1;1;1;1
16;1;1;1;1;1;1;1;1;1;1
17;1;1;1;1;1;1;1;1;1;1
18;1;1;1;1;1;1;1;1;1;1
19;1;1;1;1;1;1;1;1;1;1
20;1;1;1;1;1;1;1;1;1;1
